seq_len,ch_idx
2048,26
2048,12
2048,9
1873,0
1334,19
932,8
899,24
865,21
817,13
2048,22
794,11
774,30
779,1
754,24
750,17
695,28
717,10
691,31
671,31
932,5
666,6
651,0
640,25
624,15
640,14
602,8
688,20
607,21
595,8
596,20
583,21
578,0
595,17
580,17
568,15
651,16
571,16
559,16
586,11
578,3
541,5
948,14
576,24
545,3
540,30
539,12
533,18
560,20
547,20
547,27
521,26
2048,28
528,1
521,8
607,21
509,8
506,13
503,12
502,22
509,23
492,10
486,4
486,29
482,21
762,8
562,8
459,15
455,28
453,10
441,15
442,15
528,29
466,15
450,6
433,6
425,13
442,15
415,4
452,29
444,10
440,2
417,16
583,17
462,29
448,6
421,13
402,10
393,13
395,16
381,1
1959,14
392,7
388,1
378,17
452,29
397,25
396,18
383,11
370,17
647,25
380,15
359,0
430,8
367,9
364,3
360,27
356,8
351,1
349,27
387,18
363,31
350,24
350,14
343,5
343,31
341,7
349,22
328,7
324,22
387,27
355,27
338,5
327,16
324,3
319,13
319,8
344,16
332,20
311,31
311,21
305,14
305,20
301,29
413,28
359,6
320,4
312,6
304,23
301,25
297,11
313,26
303,14
301,12
297,29
295,23
293,10
289,14
288,12
287,29
285,20
281,5
1612,2
332,9
301,21
294,28
358,31
301,5
295,10
280,31
280,8
275,24
274,6
273,5
273,4
269,15
261,31
284,3
276,12
259,7
258,12
258,2
258,22
253,3
637,13
406,7
272,2
266,20
260,13
258,7
257,1
252,2
250,25
248,22
248,5
246,20
241,23
698,11
260,19
254,16
252,1
245,15
243,0
240,11
238,3
234,19
233,23
1545,13
365,24
313,30
275,23
259,10
244,16
244,25
234,6
231,23
229,5
224,29
467,4
294,14
261,24
250,4
239,1
235,26
231,2
226,28
224,3
217,25
893,2
471,30
265,4
264,30
246,17
239,21
223,3
215,31
212,24
206,16
418,19
235,19
233,11
223,25
210,11
208,13
206,12
206,17
204,3
201,29
198,23
192,5
299,30
242,22
238,31
234,24
213,26
210,7
204,30
202,18
202,22
871,9
225,17
220,26
204,14
198,17
196,5
191,26
188,11
185,30
182,14
182,17
181,22
181,9
175,5
175,26
174,11
174,30
311,18
238,0
234,23
227,25
199,18
197,2
182,1
181,0
179,13
177,31
175,23
174,5
170,6
167,25
2048,27
1686,12
418,28
410,8
197,4
194,17
193,14
190,0
179,9
176,28
173,8
168,10
167,25
165,29
163,4
160,14
160,19
403,7
197,7
166,28
165,18
165,7
154,0
153,23
153,3
150,6
148,29
146,18
145,26
143,7
143,20
812,21
430,6
237,18
218,22
158,16
158,9
158,27
146,21
145,6
144,26
138,24
138,7
135,30
323,0
147,17
140,0
139,9
135,31
130,24
125,10
122,17
329,31
129,8
122,23
121,31
121,24
120,29
119,30
116,0
115,9
322,7
187,22
179,7
142,16
135,9
134,22
117,20
115,27
113,7
112,10
105,16
103,26
102,17
102,9
101,0
101,22
205,30
156,11
110,7
108,3
103,30
101,11
100,4
99,19
98,28
95,7
94,3
151,19
116,19
114,28
111,7
101,31
97,23
94,9
94,18
93,16
91,26
982,1
329,25
127,16
126,3
123,16
111,25
91,4
90,27
88,1
86,3
85,16
85,25
84,23
82,11
80,30
78,29
76,19
76,9
188,18
96,18
90,10
83,27
76,1
76,23
76,31
75,18
75,24
67,26
66,4
2048,18
512,24
96,10
95,13
86,23
84,30
79,10
75,24
74,26
70,19
69,29
65,6
65,22
61,28
60,14
59,27
58,1
53,2
934,5
225,21
129,2
121,13
70,3
65,12
64,25
61,9
60,11
55,29
55,6
55,27
54,5
53,28
52,1
49,21
43,2
41,13
762,15
719,19
224,15
83,11
68,30
60,4
55,15
50,11
46,30
43,10
40,4
40,6
40,24
39,29
39,19
37,22
34,21
33,14
33,13
95,4
69,4
57,15
43,4
36,15
35,4
32,26
31,6
30,18
29,15
28,2
27,4
25,30
24,12
22,7
878,19
52,2
44,25
36,6
30,10
28,2
27,3
27,25
26,6
26,23
24,10
23,2
22,19
22,20
18,27
18,5
17,28
11,12
797,20
496,23
101,27
75,1
54,23
53,10
35,29
29,1
22,27
20,31
17,9
16,20
14,0
13,22
9,28
8,21
4,4
2,3
