seq_len,ch_idx
2048,26
2048,12
2048,0
1528,1
1070,19
1081,2
938,5
793,7
782,5
1684,31
830,16
785,6
760,23
801,0
718,30
720,27
736,6
708,1
693,18
726,28
660,28
677,10
671,22
636,23
654,4
913,30
640,23
1317,9
1260,11
808,22
609,22
599,14
573,5
553,27
580,1
562,24
546,24
900,7
599,7
564,5
531,8
613,10
617,1
519,12
511,19
509,22
508,23
510,20
507,20
505,19
498,10
493,11
670,19
505,7
486,22
627,27
572,24
487,17
769,12
496,18
490,17
489,12
474,11
471,13
470,18
463,26
1801,16
669,5
609,6
464,17
462,6
455,24
1489,29
459,5
458,16
474,16
449,2
434,1
433,23
799,0
443,7
426,9
421,16
1032,31
491,11
437,17
412,2
407,8
401,17
1798,5
406,31
401,9
401,5
401,19
396,28
395,7
785,31
396,5
392,0
391,11
390,22
402,18
400,8
391,1
387,8
371,10
369,6
2048,16
463,23
371,19
358,18
384,3
344,3
790,9
371,13
355,21
353,15
350,23
349,0
347,25
344,21
343,15
343,28
341,2
340,14
339,26
418,15
339,15
334,28
328,15
326,21
346,0
338,2
330,10
322,21
322,29
415,19
350,19
313,29
313,30
311,19
750,15
572,14
480,15
314,14
308,2
307,30
304,9
320,20
317,30
303,18
491,6
407,8
337,29
331,30
292,8
286,2
285,21
280,6
447,8
389,21
360,8
328,27
306,18
298,10
290,30
285,13
280,21
279,15
273,8
268,27
266,18
266,17
265,28
264,7
312,18
281,13
276,18
269,19
264,26
262,18
259,19
254,9
709,14
312,13
263,13
259,24
254,14
252,2
251,21
247,9
1502,6
430,3
300,31
276,13
264,26
258,3
256,25
253,30
251,21
249,4
244,27
240,11
237,24
986,20
249,20
244,28
243,3
238,25
232,21
232,4
229,18
227,11
225,17
685,4
620,17
266,3
237,26
237,4
235,15
233,9
230,27
227,17
223,14
223,13
249,21
245,9
225,15
219,19
217,26
209,24
207,14
203,3
1049,17
360,24
351,11
251,24
229,6
225,13
217,0
209,25
209,29
203,24
199,11
199,17
196,0
196,12
195,25
243,15
240,15
199,15
198,4
196,15
190,4
187,19
186,1
185,28
299,24
223,24
210,24
205,6
204,13
201,22
187,11
179,13
178,22
178,25
1266,6
226,1
207,21
186,1
181,25
179,18
173,21
172,5
171,3
170,19
169,9
2048,20
999,2
239,26
194,4
175,29
174,30
173,11
172,31
168,26
164,13
164,28
161,5
158,18
156,12
156,9
153,29
1314,11
759,8
736,25
321,2
300,1
192,2
174,13
164,23
151,7
151,20
150,18
147,1
143,14
470,27
255,23
168,7
168,27
156,23
151,7
150,4
149,29
145,27
141,23
140,7
134,17
131,4
453,14
259,10
228,21
172,29
171,14
166,26
143,21
140,29
140,14
137,30
134,26
130,10
122,12
1109,10
450,10
189,10
158,8
155,30
137,10
132,8
129,30
127,15
127,26
126,10
122,16
119,8
114,31
114,0
2048,22
323,27
149,30
130,18
126,26
121,27
120,7
118,9
118,25
117,28
113,13
112,30
110,20
109,18
106,15
269,21
200,7
198,21
146,7
119,12
116,21
108,7
103,9
102,27
102,16
100,1
95,12
225,25
127,2
114,26
103,8
102,25
96,17
96,12
96,13
92,5
88,20
88,29
86,9
124,3
114,8
97,31
90,29
88,27
83,3
82,31
79,5
78,29
75,27
285,12
145,4
117,24
85,25
84,12
84,2
71,13
69,30
65,4
63,7
61,18
141,25
137,20
99,16
73,25
72,3
71,8
66,23
62,17
61,20
60,30
60,16
59,25
59,3
161,23
62,0
59,16
56,4
55,3
50,23
50,31
49,1
48,0
47,19
45,16
44,4
43,22
43,3
41,27
41,24
41,9
89,25
88,28
66,25
62,3
58,31
54,28
49,25
49,3
46,22
46,29
46,23
45,8
45,31
40,14
39,1
39,28
37,12
37,25
37,3
36,22
35,4
34,6
33,30
792,0
257,14
182,11
61,13
56,14
40,31
38,23
38,12
36,15
34,19
33,0
31,11
28,20
23,13
21,14
679,28
193,28
131,20
85,4
44,28
42,21
29,29
28,9
27,31
25,12
23,10
20,20
17,2
16,3
15,11
11,4
11,14
503,29
289,26
151,2
125,17
108,3
100,13
58,29
24,24
21,15
18,26
17,10
16,20
15,2
13,17
12,3
11,4
10,22
8,13
5,29
