seq_len,ch_idx
2048,26
2048,12
2048,9
1373,0
1071,20
970,26
933,18
849,28
843,29
796,17
834,19
801,6
771,26
786,0
759,22
911,22
721,30
731,6
699,19
736,12
699,12
675,17
684,26
1381,6
692,15
654,31
647,25
649,0
649,7
631,16
623,25
646,12
633,24
883,23
620,22
605,27
597,15
587,17
1117,28
583,31
569,21
813,26
591,13
566,26
565,3
555,16
1311,31
682,1
542,11
539,16
537,31
542,16
526,4
658,1
554,1
531,21
513,25
491,0
712,29
565,29
550,9
941,11
500,9
498,8
492,4
471,0
469,9
555,14
483,13
469,28
464,13
489,16
488,25
465,23
462,12
520,11
465,18
449,22
432,8
439,21
1038,15
1046,30
414,30
1010,7
525,24
435,28
400,2
399,24
390,18
388,28
387,29
381,21
380,19
379,11
378,27
367,11
363,20
371,11
361,28
351,27
368,13
360,11
353,13
352,21
345,29
445,9
395,11
370,7
366,14
353,29
340,9
520,14
361,29
340,19
334,9
702,21
365,21
349,2
322,4
317,13
316,1
314,9
1134,3
853,6
743,19
317,13
315,17
314,19
302,4
301,7
301,11
2048,22
1327,15
377,2
311,30
305,13
304,30
303,9
301,16
294,11
303,10
296,18
284,1
1255,19
408,29
290,3
290,1
289,23
285,29
274,4
358,18
296,30
287,18
283,1
274,30
273,18
272,19
270,24
270,22
269,31
430,2
328,27
300,2
279,1
277,17
265,8
261,5
256,29
256,2
252,16
278,18
271,18
262,13
261,30
260,24
259,20
257,15
255,23
253,0
244,4
331,4
264,11
263,21
254,24
250,17
245,9
243,26
241,4
237,2
303,10
277,5
248,2
245,17
242,1
238,10
236,3
235,5
233,25
230,4
230,6
229,2
229,27
227,12
1160,8
339,8
243,20
240,15
237,8
236,20
224,14
224,8
220,20
220,3
217,16
215,14
215,7
321,27
254,27
249,24
236,27
234,18
208,5
208,15
204,10
203,6
202,29
201,27
236,30
234,21
234,14
210,26
202,0
200,20
199,8
195,28
267,25
247,25
195,30
193,11
193,1
187,4
186,30
218,7
217,10
206,7
203,5
191,31
189,11
187,10
187,7
182,5
179,25
177,17
177,3
175,23
173,28
171,31
432,5
339,0
221,24
175,0
173,24
169,5
166,18
165,25
164,16
163,31
1497,18
649,31
254,31
236,0
197,6
184,2
179,18
179,31
170,25
170,3
169,0
166,6
162,2
162,18
159,31
154,7
151,0
219,27
164,27
157,5
153,12
153,28
152,27
151,2
149,5
148,4
148,12
146,29
2048,10
451,7
170,27
150,7
141,24
140,25
139,21
137,23
134,16
132,27
431,13
214,13
171,3
140,7
137,30
134,25
133,13
133,6
132,3
124,15
308,14
203,14
140,14
139,22
131,10
125,23
124,9
123,22
123,14
121,2
119,25
112,10
111,18
303,10
176,7
163,10
126,16
120,12
118,7
117,25
113,10
112,1
109,6
102,23
593,8
446,4
188,8
128,9
125,14
115,4
114,5
113,1
107,30
102,6
102,8
99,23
98,9
93,21
188,20
114,5
108,24
108,15
108,20
107,21
107,14
101,10
96,1
95,24
95,8
93,15
90,20
2048,29
113,4
96,20
96,13
83,21
83,17
81,16
78,0
77,12
77,22
74,5
71,27
193,17
171,23
145,23
137,17
106,23
99,17
99,23
95,17
92,23
92,17
85,25
83,4
83,20
80,23
80,17
79,25
78,26
74,4
74,10
74,20
73,2
73,1
70,24
68,15
66,6
65,0
64,12
63,13
61,3
478,16
429,5
314,3
151,16
109,5
85,3
71,16
70,19
69,5
66,4
64,7
61,3
59,10
59,16
57,15
54,8
52,9
51,11
51,23
51,17
88,13
86,11
81,22
78,3
77,14
75,27
71,4
70,15
68,13
60,30
55,28
52,11
47,17
46,25
44,26
41,5
448,14
203,24
86,21
82,14
76,24
73,21
72,8
58,13
45,3
45,14
44,24
44,4
43,21
42,13
41,8
41,15
40,30
40,31
40,28
39,12
38,11
38,19
37,22
33,18
450,20
60,20
51,24
47,20
47,1
47,27
37,30
35,28
33,12
31,0
31,22
30,19
30,9
26,23
21,26
1991,28
172,2
114,5
96,2
41,5
41,27
28,1
23,14
21,8
21,10
20,2
19,7
19,5
11,27
204,19
54,2
31,6
23,19
18,23
17,3
17,20
17,2
15,7
11,6
11,19
11,22
9,23
9,3
8,14
7,24
