seq_len,ch_idx
2048,26
2048,12
2048,19
1669,9
1454,28
1252,0
1048,17
1033,8
946,8
927,21
926,11
1640,13
1251,25
999,30
903,21
839,30
824,20
801,6
856,24
795,25
788,22
788,4
769,10
1309,14
861,13
726,28
705,11
679,17
671,11
702,3
693,15
672,26
662,5
1063,8
656,23
632,9
663,28
626,29
619,13
668,14
620,20
1161,21
611,2
598,18
1168,23
606,2
584,25
961,15
592,4
2048,1
554,6
552,11
565,29
541,16
539,6
598,27
572,11
522,23
534,12
577,26
514,26
503,15
495,0
493,3
509,20
501,28
545,22
535,1
527,10
471,17
582,27
479,27
463,17
497,31
460,10
452,1
451,16
444,25
471,20
461,19
458,24
455,26
439,21
443,7
439,14
436,5
431,26
427,29
423,30
493,24
428,10
424,30
411,25
458,12
448,7
422,4
411,28
401,21
451,19
405,7
399,29
397,20
429,30
397,30
384,20
410,6
404,27
399,19
380,28
378,16
376,20
371,4
955,11
759,16
387,13
386,8
377,16
370,29
367,15
404,14
404,8
396,26
380,22
368,4
358,2
355,19
355,18
391,24
371,11
354,23
352,24
344,20
588,26
390,26
354,26
351,26
356,15
350,13
340,10
329,5
401,14
377,31
351,31
345,14
341,1
331,7
331,23
331,31
322,15
652,22
338,1
319,24
308,22
322,31
315,13
308,8
306,12
296,10
291,1
817,28
345,29
328,0
311,23
306,16
298,13
292,3
286,12
1004,18
309,18
304,14
291,3
291,1
284,18
284,9
327,24
310,24
296,31
288,23
273,22
273,1
270,12
270,0
267,14
263,24
545,31
347,1
267,13
267,14
264,7
264,23
262,13
261,22
260,2
259,12
253,30
297,15
281,28
266,19
258,11
250,30
241,3
428,17
324,17
287,0
240,0
236,21
348,29
335,10
289,17
265,26
238,30
237,7
234,24
233,29
227,17
221,31
319,22
271,11
244,7
242,22
238,13
231,4
231,6
226,31
226,18
223,21
223,8
220,7
218,14
357,4
310,16
224,3
221,16
219,6
218,8
216,18
214,11
212,20
210,1
205,4
1626,28
257,21
241,21
233,18
221,20
208,12
205,16
199,18
199,0
199,12
196,25
191,4
396,27
379,29
265,19
226,2
223,14
205,29
204,21
200,19
200,2
198,12
190,8
189,25
187,14
1267,18
375,2
223,25
220,26
217,22
202,2
187,27
186,10
186,16
184,6
182,25
175,26
289,0
271,4
239,25
183,21
178,1
172,0
170,20
170,13
170,5
170,26
165,22
165,25
1393,9
388,3
198,29
196,10
187,20
176,3
174,4
174,29
171,10
164,20
162,5
159,6
156,15
154,19
153,23
152,3
223,2
220,12
172,18
166,27
164,7
162,2
161,21
157,18
155,12
155,27
149,8
141,7
646,7
188,31
178,29
165,24
165,16
154,8
152,9
152,31
151,29
150,2
143,0
141,25
131,5
180,27
171,27
158,16
149,18
140,18
139,27
138,16
138,20
137,17
131,6
130,19
128,9
128,11
125,8
123,18
123,27
950,2
494,30
212,15
207,0
158,2
153,4
153,15
153,30
143,0
127,2
126,5
120,15
116,30
540,8
303,8
288,11
256,20
185,8
185,11
161,23
128,2
123,7
117,20
117,21
112,31
107,8
106,11
105,23
550,30
538,5
422,9
164,30
110,31
109,15
108,23
107,19
103,5
99,9
97,30
93,1
545,23
427,22
199,7
159,21
107,23
105,4
97,22
94,17
90,1
88,2
87,27
87,7
84,31
83,16
553,5
187,3
109,1
104,0
96,20
86,4
85,3
83,5
82,14
82,1
78,30
75,24
230,5
77,5
75,6
73,27
70,0
69,5
69,3
69,6
67,30
65,27
63,0
131,10
116,7
87,4
76,10
69,16
61,7
59,4
58,5
57,10
1365,10
447,24
120,15
104,9
82,13
81,24
78,7
68,31
68,25
65,15
63,21
63,22
61,9
58,14
57,1
54,13
53,24
52,12
50,27
49,7
49,4
1295,29
195,6
127,16
69,3
53,16
50,22
47,6
44,23
43,3
42,15
40,14
39,9
38,10
37,17
37,19
36,7
33,31
31,28
31,22
433,17
230,17
204,17
136,19
85,24
51,27
49,0
48,17
47,9
46,19
32,24
31,13
30,27
29,5
29,31
28,0
26,23
1578,3
308,19
155,9
81,14
42,19
28,5
21,0
18,16
18,4
17,6
13,3
12,9
113,6
79,15
41,25
29,12
18,6
13,31
12,15
10,25
5,24
5,12
1,17
