seq_len,ch_idx
2048,26
2048,12
1126,9
989,15
1056,15
1008,28
951,19
926,2
928,12
966,26
802,0
2048,30
2048,21
985,25
741,18
736,2
788,6
721,4
690,16
678,8
665,19
639,29
637,11
647,1
627,20
621,23
620,24
599,2
592,30
582,2
584,25
1739,7
702,15
552,12
551,7
574,17
560,25
554,14
605,17
544,5
558,16
519,25
574,23
501,3
1467,10
994,16
493,30
482,4
474,23
1933,31
1233,1
664,3
461,10
446,0
444,15
442,28
450,30
446,31
445,3
442,11
639,15
453,27
436,9
434,10
465,9
437,27
423,2
423,16
417,26
411,22
856,3
427,15
499,25
430,27
406,13
452,16
422,20
397,24
395,9
394,14
851,27
391,14
391,8
383,31
381,10
373,0
446,5
411,13
399,0
385,25
382,24
372,15
365,2
361,20
738,12
404,12
370,14
370,13
368,8
359,20
355,1
353,12
2048,13
566,25
427,26
380,21
372,7
356,1
356,25
351,26
349,5
553,30
365,24
355,14
346,31
341,19
340,21
338,11
346,9
328,30
327,0
940,6
781,18
332,6
331,31
325,16
325,17
320,21
704,11
380,1
358,8
327,19
316,18
314,11
313,3
301,1
315,7
310,11
308,4
300,11
298,1
296,25
291,8
1176,25
440,26
380,15
324,21
305,26
298,29
296,4
295,30
669,1
368,19
299,2
299,8
293,20
293,17
290,23
278,11
276,2
2048,25
534,27
413,8
329,27
316,11
308,8
292,22
284,30
280,3
276,28
272,27
1346,21
391,0
337,31
282,4
269,31
269,14
259,4
258,26
258,5
256,3
254,0
284,19
260,29
256,8
252,5
252,20
251,21
248,13
416,22
313,5
289,22
265,19
259,29
255,5
251,22
249,24
242,21
241,26
240,13
237,19
235,29
310,4
294,20
281,4
274,20
269,30
260,6
239,16
233,5
230,27
229,24
1368,13
1015,31
302,18
262,29
242,22
234,0
231,2
230,15
227,29
216,24
213,22
505,28
224,17
214,3
203,27
235,2
231,2
224,10
224,2
221,10
218,2
217,10
213,14
209,9
203,23
203,29
203,0
239,26
237,1
226,26
224,6
223,1
217,12
212,31
202,1
197,14
196,6
194,17
192,28
189,12
187,16
183,5
549,7
261,14
256,9
240,15
214,6
213,22
209,14
208,19
189,15
179,27
179,6
176,21
173,29
247,30
223,28
190,19
172,30
171,4
170,28
170,29
169,18
168,3
167,5
163,22
299,10
208,17
192,22
185,9
184,24
177,6
174,10
173,4
172,17
167,28
161,23
154,24
1721,23
1176,14
221,27
184,17
180,7
175,22
169,27
164,17
164,7
160,30
157,22
153,18
153,13
153,9
147,27
146,17
447,28
217,28
215,24
185,28
152,29
149,10
149,6
146,28
144,24
136,9
135,19
133,6
1083,17
568,22
307,19
246,21
161,18
155,19
129,0
126,14
125,7
125,4
123,28
227,5
175,0
139,16
138,19
134,0
128,27
127,16
126,26
126,21
125,30
125,18
123,5
123,12
120,0
119,27
191,8
128,7
128,11
119,22
119,0
111,6
110,7
109,11
108,8
105,22
105,0
102,13
101,5
248,23
195,16
160,23
146,23
137,16
121,20
120,5
120,6
118,3
114,23
107,16
106,20
100,15
93,12
1700,4
785,20
605,9
111,5
99,18
90,6
90,19
90,16
89,11
86,20
85,5
81,18
875,8
591,28
344,8
164,8
103,20
97,11
91,28
87,8
87,4
86,20
85,29
85,11
84,28
84,8
82,23
81,7
80,3
79,10
78,1
78,31
76,15
76,13
73,24
71,20
420,9
213,10
93,14
90,15
88,5
86,22
74,6
73,7
73,14
72,9
72,10
68,15
67,31
63,30
61,5
159,10
67,31
63,18
61,24
61,28
60,10
56,31
55,18
502,29
148,22
141,10
138,29
107,27
70,3
66,18
66,22
65,12
65,0
59,10
59,29
57,17
56,11
56,27
54,3
51,7
51,9
49,31
46,18
45,22
109,29
73,11
60,18
46,13
46,26
44,29
41,11
38,27
36,8
35,12
35,18
34,13
34,26
31,29
31,11
1583,3
121,17
85,4
83,2
61,18
57,21
38,17
36,0
32,24
31,19
31,9
29,4
28,2
27,18
26,21
23,29
21,20
172,24
68,6
60,1
42,13
37,6
35,24
25,7
24,19
24,9
23,14
22,1
21,13
20,31
13,21
13,5
13,6
51,24
46,23
36,16
28,24
26,20
24,0
21,14
20,23
11,16
6,1
6,12
4,24
1,26
