seq_len,ch_idx
2048,30
987,10
944,15
895,8
808,11
2048,3
821,18
800,31
750,26
906,13
825,24
702,28
713,4
1067,0
670,8
736,15
686,28
682,30
1433,4
660,21
619,26
626,2
611,19
617,5
1253,9
596,24
592,30
923,7
585,13
568,25
558,10
1229,18
543,21
557,30
556,1
1992,22
556,30
539,11
617,14
527,26
1483,27
512,29
499,10
512,11
523,12
517,14
504,16
499,23
498,27
488,3
895,19
466,30
466,31
556,18
453,1
461,9
439,12
432,17
445,18
524,21
439,28
521,31
527,1
427,4
486,17
412,24
1478,28
413,29
778,30
539,5
527,12
396,14
601,16
396,24
497,0
384,2
413,7
530,10
539,12
520,13
376,14
441,15
383,18
383,22
372,23
391,28
375,30
387,9
576,10
391,11
383,12
375,13
362,17
434,18
389,22
369,24
368,29
382,30
352,31
350,1
354,6
355,7
357,8
426,19
339,24
1121,0
346,3
337,4
328,6
323,11
332,13
335,16
1057,17
324,18
315,19
319,21
315,24
487,26
314,29
424,30
344,31
340,0
311,1
331,4
330,5
317,7
318,8
348,12
311,15
307,17
372,20
308,23
293,24
868,25
299,26
304,27
296,28
294,29
329,30
302,0
308,2
301,3
304,6
281,10
298,11
304,12
380,13
2048,14
303,15
394,17
294,23
311,25
284,26
286,29
288,31
276,1
274,2
288,6
304,9
262,10
298,12
257,19
257,22
266,23
276,24
268,25
283,0
258,1
257,2
796,4
252,5
250,6
251,7
273,8
262,9
270,14
249,21
241,22
245,23
258,27
272,1
231,2
246,3
235,6
264,10
229,11
222,12
578,17
229,19
225,22
222,23
223,24
220,25
211,28
229,1
234,2
230,3
212,4
227,5
211,10
214,11
257,14
344,16
213,17
210,19
208,21
217,22
323,23
592,24
217,25
212,26
198,28
196,29
261,31
280,0
216,1
637,3
205,4
196,7
267,8
244,10
200,13
213,15
190,16
187,17
204,18
193,21
181,22
193,23
206,24
298,25
195,27
235,29
233,31
195,1
241,2
231,3
231,4
197,5
171,6
216,8
302,10
188,11
185,12
191,13
174,14
175,15
177,18
209,20
194,21
251,22
192,23
192,24
173,28
161,29
176,30
178,0
185,1
177,3
171,4
164,6
189,7
211,8
169,10
170,12
171,13
166,15
160,16
160,18
161,19
166,20
193,21
188,22
166,23
188,24
530,25
158,26
162,27
886,28
158,29
166,0
143,1
157,2
151,3
158,5
157,6
170,7
157,9
211,12
152,13
144,14
193,15
131,17
151,19
143,20
193,21
136,22
496,23
170,24
586,25
142,26
241,27
186,29
142,30
137,31
141,1
138,2
144,3
148,4
195,5
467,6
151,7
163,8
183,9
164,10
132,13
143,14
132,15
135,16
201,18
149,19
563,20
135,21
138,22
111,23
122,24
131,25
125,26
118,27
1262,28
126,29
118,30
116,31
119,0
144,1
111,2
112,3
121,4
106,6
112,7
101,9
101,10
137,11
111,12
114,13
106,14
166,16
161,17
105,18
107,19
105,20
115,21
100,22
117,24
106,25
94,26
101,27
108,28
107,29
131,30
170,31
98,1
98,2
272,3
97,4
101,5
152,6
102,7
116,8
122,9
115,10
91,11
108,12
195,13
111,14
87,15
233,16
104,17
994,18
95,19
157,20
97,21
100,22
90,23
89,24
117,25
87,26
84,27
90,28
99,30
233,31
92,0
131,2
225,3
87,4
579,5
72,6
82,7
79,9
76,10
93,11
85,12
106,13
2048,14
78,15
99,16
92,17
81,18
128,19
78,20
78,21
84,22
82,24
73,25
103,26
115,27
95,28
74,29
72,30
72,31
2048,0
69,2
67,3
83,4
74,5
117,6
220,8
98,9
130,10
71,12
1881,14
1708,15
59,16
98,17
97,18
53,19
70,20
96,21
55,22
53,23
43,24
63,25
54,27
53,28
98,29
31,30
35,31
41,0
49,1
32,2
38,3
43,4
64,5
37,6
36,7
41,8
56,9
40,10
33,11
2048,12
35,13
81,14
39,15
32,16
100,17
42,18
29,19
74,20
29,21
589,22
25,23
44,24
27,25
39,26
55,27
24,28
36,29
34,30
28,31
46,0
29,1
186,2
14,3
1177,4
19,5
31,6
20,7
16,9
24,10
13,11
22,12
11,13
33,14
39,15
2048,16
523,18
15,19
16,20
18,21
66,22
6,23
29,24
6,25
9,26
9,27
9,28
31,29
14,30
69,31
12,0
3,1
34,2
