seq_len,ch_idx
2048,30
2048,3
2048,30
2048,30
1923,16
1052,23
930,2
818,30
2048,20
761,22
757,17
753,27
756,29
764,8
745,17
729,21
725,13
694,25
691,1
655,5
641,12
644,23
642,26
571,19
583,22
579,8
569,9
698,13
576,19
559,26
599,0
566,1
544,14
581,21
551,8
1660,1
568,15
519,2
555,3
588,8
511,14
634,23
851,25
510,28
1702,14
493,20
617,25
462,9
478,15
557,17
514,18
482,22
629,24
451,30
454,0
1383,5
443,14
434,2
465,3
995,4
435,10
503,11
443,19
426,22
884,0
426,7
431,12
422,17
445,18
394,28
394,3
401,9
381,10
389,12
375,16
378,17
377,18
380,21
381,23
389,27
371,28
464,7
382,9
386,11
369,12
353,16
351,19
360,23
363,28
436,29
358,2
368,3
494,7
366,8
354,9
358,10
703,16
355,18
380,19
531,20
342,22
345,23
338,26
459,28
336,0
342,2
333,3
324,5
323,6
363,7
328,9
328,10
334,14
378,17
350,18
326,20
325,25
321,28
321,30
473,2
316,5
328,6
346,7
320,8
302,10
311,14
320,16
339,17
326,19
347,21
315,25
313,26
341,27
455,29
301,31
375,0
305,2
304,5
305,7
317,8
329,10
384,11
288,13
306,14
287,16
293,19
317,20
299,22
299,23
293,24
344,25
291,26
297,29
290,30
297,31
280,0
273,1
335,2
289,3
285,5
300,6
372,7
284,16
282,23
282,30
1335,3
263,5
283,7
251,11
271,12
254,13
281,14
267,15
353,18
379,19
260,22
295,24
485,25
255,28
268,29
263,30
243,31
247,2
302,3
273,5
263,10
248,12
252,14
246,17
245,19
239,21
246,22
286,24
260,26
258,27
245,31
239,4
243,6
232,9
255,12
240,14
232,15
235,16
334,19
230,21
249,22
282,23
219,24
229,27
220,0
223,1
213,2
255,5
294,7
209,8
204,9
348,10
216,11
212,13
206,14
217,16
238,17
220,18
278,20
209,22
385,23
199,26
1018,29
219,30
268,0
193,2
227,6
205,7
205,8
237,9
202,10
644,11
193,12
220,13
245,14
208,15
224,16
195,17
181,18
281,19
188,22
615,23
216,24
194,25
188,26
191,27
197,29
329,30
203,0
184,2
187,3
189,4
184,5
208,7
176,9
195,10
196,13
195,17
229,18
425,21
304,22
161,24
246,26
187,27
168,30
158,0
166,2
200,3
151,5
154,6
190,8
151,10
166,11
153,13
174,14
411,15
158,16
377,17
294,18
151,19
171,22
201,23
570,24
150,25
170,26
187,27
143,28
150,29
151,30
193,31
160,0
154,1
170,2
266,3
151,4
146,5
149,6
161,8
162,10
144,12
157,13
148,15
141,16
160,17
135,18
138,19
136,21
138,23
135,24
162,25
177,26
325,27
135,28
128,30
134,31
144,0
139,1
205,2
131,3
129,4
131,5
123,6
111,7
127,8
114,9
187,10
121,11
120,12
218,13
131,14
235,15
111,16
123,17
119,18
122,19
110,20
140,22
116,23
108,26
174,27
104,28
156,30
114,31
119,0
121,1
259,2
120,3
323,4
104,5
124,6
118,8
108,9
92,10
107,11
109,12
200,13
98,14
102,15
99,16
771,17
131,18
93,19
94,20
96,21
86,22
99,23
279,24
1984,25
182,26
157,27
92,28
92,30
111,0
86,2
135,3
98,4
247,5
148,6
77,7
87,8
108,9
319,10
381,11
415,12
152,13
73,14
78,15
190,16
77,17
127,18
77,19
77,20
241,21
128,22
77,23
92,24
77,25
67,26
69,27
439,28
63,29
120,30
169,31
135,0
65,1
113,2
75,3
80,4
62,5
69,6
79,8
91,11
63,12
60,13
76,14
69,15
51,16
77,17
58,18
143,19
57,20
92,21
83,23
62,24
122,25
84,26
62,28
41,29
42,30
110,0
374,2
86,3
62,4
61,5
87,6
48,7
34,8
46,9
850,10
43,11
45,12
47,13
39,14
42,16
36,17
58,18
37,20
46,21
135,22
38,23
51,24
234,25
51,26
86,27
22,28
473,29
24,30
31,31
24,0
22,1
45,2
46,3
30,4
45,5
118,6
176,7
38,8
25,9
19,10
20,11
13,12
24,13
25,14
33,15
382,16
346,17
16,18
14,19
54,20
19,21
63,22
301,23
45,24
37,25
12,26
649,27
14,28
33,29
18,30
26,31
20,0
6,1
248,2
89,3
53,4
21,5
13,6
143,7
5,8
2,9
23,10
5,11
11,12
19,13
90,14
33,15
69,16
