seq_len,ch_idx
2048,30
2048,3
2048,30
1966,30
1829,30
1160,1
1027,14
923,16
880,2
832,19
866,24
941,12
775,4
753,10
708,20
699,5
1306,10
841,18
721,23
709,27
695,31
679,28
662,1
669,7
690,21
651,28
651,19
642,24
621,19
611,28
657,11
596,12
586,27
583,0
607,16
592,0
951,23
526,9
532,12
531,14
514,30
515,0
1130,3
1011,6
514,10
1548,13
508,14
531,23
530,25
1185,29
485,14
482,30
471,6
498,7
507,10
472,17
475,18
604,19
465,20
519,21
464,24
462,0
471,1
1985,4
468,5
685,8
564,31
592,3
1155,4
438,12
431,14
1159,19
432,23
451,24
437,25
558,27
539,1
597,2
423,3
419,6
427,7
428,11
433,20
434,26
426,28
414,30
404,6
409,7
404,10
428,11
474,24
398,25
381,1
420,8
1299,9
404,10
393,12
387,15
398,16
392,18
382,19
382,21
434,23
408,26
471,29
420,30
377,31
385,0
380,10
417,12
362,19
367,23
360,24
366,28
372,1
389,6
396,7
353,10
341,13
395,14
363,15
386,17
545,22
355,23
338,24
334,26
350,28
333,5
392,9
333,11
329,12
324,18
519,19
317,21
326,22
341,26
329,27
337,30
326,31
305,4
313,7
306,8
296,11
296,13
293,14
303,16
298,17
310,20
311,29
309,30
307,31
358,0
305,3
318,5
300,6
300,10
297,11
299,12
290,13
303,14
284,15
388,16
297,18
278,20
336,21
330,24
373,25
282,29
274,31
335,0
276,3
362,10
318,12
276,13
258,16
257,19
293,26
312,29
282,30
265,2
241,5
252,7
262,8
247,10
281,11
250,12
260,13
256,14
249,17
237,18
281,20
269,21
247,22
273,23
236,24
285,26
284,27
257,28
1085,29
232,30
231,31
245,1
250,2
232,3
278,4
235,6
233,7
225,8
227,9
237,10
287,14
219,16
217,18
223,19
215,20
224,21
687,23
223,24
221,25
212,26
219,28
206,29
225,0
209,2
223,5
217,7
319,9
209,12
223,13
198,14
214,16
283,17
229,19
201,20
414,22
198,24
213,25
192,27
193,28
509,29
208,30
203,31
248,0
214,1
201,2
191,4
187,6
189,7
184,10
845,11
186,12
217,13
185,14
185,15
211,16
184,18
199,19
199,21
173,23
185,24
181,25
250,28
188,30
183,0
186,3
178,4
192,6
185,7
188,9
181,11
186,12
175,13
181,14
171,15
1494,19
202,22
182,23
330,24
189,25
282,26
185,27
176,28
169,29
157,30
592,31
168,1
204,2
161,4
164,5
167,6
251,7
174,8
202,10
168,12
195,13
169,14
207,16
145,18
153,19
148,20
177,21
156,24
163,25
179,27
141,28
176,29
157,30
159,31
1069,0
150,1
148,3
171,5
171,6
152,7
244,8
141,9
134,11
147,14
141,16
143,17
161,19
137,20
133,21
141,22
169,23
147,25
131,27
134,28
123,29
125,30
332,31
121,0
133,1
126,2
877,3
133,4
161,5
125,6
136,7
130,8
120,9
118,12
124,14
159,15
124,16
113,17
123,18
168,20
117,23
190,25
149,26
651,27
118,28
109,29
108,0
113,1
92,2
108,3
118,4
101,5
99,7
109,8
115,9
1953,10
103,11
100,13
98,14
92,15
105,16
103,17
92,18
108,19
106,20
96,23
84,24
112,26
91,27
150,29
807,30
377,31
99,0
96,1
117,2
92,3
91,4
203,5
84,6
147,8
76,9
79,10
79,12
78,13
118,14
82,15
74,16
83,17
84,18
80,19
74,20
103,23
76,24
804,26
67,27
66,28
71,29
75,30
70,31
158,0
66,1
81,3
695,5
106,6
69,8
215,9
134,10
149,11
70,12
70,14
123,15
1588,16
308,17
69,18
56,21
56,22
52,23
67,24
61,25
143,26
56,27
81,28
109,29
62,30
56,31
74,0
73,1
60,2
2048,3
55,4
142,5
67,6
53,7
41,8
107,9
120,10
44,11
190,12
71,13
975,14
191,15
47,16
39,17
108,18
54,19
31,20
42,21
50,22
42,23
95,24
62,25
31,26
44,27
1160,28
30,29
59,30
512,31
115,0
121,1
45,2
419,3
32,4
50,6
46,7
21,8
30,9
79,10
32,11
26,12
32,13
71,14
40,15
429,16
97,17
99,18
52,19
31,20
277,21
34,22
26,23
21,24
106,25
19,26
25,27
64,28
8,29
48,30
11,31
7,0
56,1
12,2
91,3
32,4
8,5
17,6
93,7
6,8
18,9
47,10
21,11
31,12
5,13
22,14
1,15
